start_year,final_value,total_invested,total_profit,total_return,annual_return,sharpe,max_drawdown,years
2005,9915817.217999157,2080000.0,7835817.217999157,376.72198163457483,18.83609908172874,0.2452274718337125,24.047525391758963,20
2008,7233882.119379019,1768000.0,5465882.119379019,309.15622847166395,18.185660498333174,0.273004272233227,23.668776602705645,17
2010,5573604.84700887,1560000.0,4013604.84700887,257.28236198774806,17.15215746584987,0.27912868728397466,22.392482959517178,15
2015,2934613.470099226,1039999.9999999999,1894613.470099226,182.1743721249256,18.217437212492563,0.3454455672617032,18.090030369751048,10
2020,1129758.1063979282,520000.0,609758.1063979282,117.26117430729389,23.452234861458777,0.472971146792187,8.813582806102156,5
