frequency,final_value,total_invested,total_profit,total_return,annual_return,sharpe,max_drawdown,investment_count,freq_name
daily,9777068.624493783,2171206.34920649,7605862.275287293,350.3058232151451,17.515291160757254,0.23440638173811185,24.06450070307787,5261,Daily
weekly_mon,8874189.849882303,1958000.0,6916189.849882303,353.2272650603832,17.66136325301916,0.2358669735490772,24.094568808260135,979,Weekly Monday
weekly_tue,9823995.299153438,2162000.0,7661995.299153438,354.3938621255059,17.719693106275294,0.2338641512598788,24.01916195022565,1081,Weekly Tuesday
weekly_wed,9839715.92323712,2162000.0,7677715.923237121,355.12099552438116,17.756049776219058,0.23420121725908513,24.054000773540324,1081,Weekly Wednesday
weekly_thu,9585743.737009512,2120000.0,7465743.737009512,352.15772344384493,17.607886172192245,0.2349314467891608,24.019734776818414,1060,Weekly Thursday
weekly_fri,9637407.689803222,2120000.0,7517407.689803222,354.5947023492086,17.72973511746043,0.23529731683550145,24.100315521329378,1060,Weekly Friday
monthly,9812770.040633483,2175333.3333333395,7637436.707300143,351.0927079666007,17.554635398330035,0.23443510360288394,23.994427759377544,251,Monthly
